rank	keyword	synonyms	score	frequency
1	monito del papa		177.00051101992082	1
2	denuncia accusa di pedofilia		128.3228690821771	1
3	collegio cardinalizio		108.6956521768157	1
4	drammatica realtà		65.21739130712064	1
5	pedofilia		40.76421968963897	1
6	chiesa		36.03296157480379	1
7	papa		27.76934044747929	1
8	pagina		21.739130435034383	1
